review_text,sentiment,review_length,word_count,rating,helpfulness_score,verified_purchase,date
So there is no way for me to plug it in here in the US unless I go by a converter.,0,82,21,4,32.40701236984927,1,2023-01-01 00:00:00
"Good case, Excellent value.",1,27,4,4,45.73534168710764,1,2023-01-01 01:00:00
Great for the jawbone.,1,22,4,5,42.31190480968985,1,2023-01-01 02:00:00
Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!,0,79,11,4,59.47135850725819,0,2023-01-01 03:00:00
The mic is great.,1,17,4,4,33.36116706504157,0,2023-01-01 04:00:00
I have to jiggle the plug to get it to line up right to get decent volume.,0,74,17,2,41.93566797137225,0,2023-01-01 05:00:00
"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one.",0,111,21,4,59.08411299826106,0,2023-01-01 06:00:00
If you are Razr owner...you must have this!,1,43,8,5,55.96521377681941,1,2023-01-01 07:00:00
"Needless to say, I wasted my money.",0,35,7,4,54.512162128478394,0,2023-01-01 08:00:00
What a waste of money and time!.,0,32,7,4,37.7370848113482,1,2023-01-01 09:00:00
And the sound quality is great.,1,31,6,5,35.12662762170197,1,2023-01-01 10:00:00
He was very impressed when going from the original battery to the extended battery.,1,83,14,5,50.05929659773293,1,2023-01-01 11:00:00
If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.,0,114,22,2,57.88127967382758,0,2023-01-01 12:00:00
Very good quality though,1,24,4,5,46.70288679041789,1,2023-01-01 13:00:00
"The design is very odd, as the ear ""clip"" is not very comfortable at all.",0,73,15,3,47.14838068409699,1,2023-01-01 14:00:00
Highly recommend for any one who has a blue tooth phone.,1,56,11,4,38.399372809808526,0,2023-01-01 15:00:00
I advise EVERYONE DO NOT BE FOOLED!,0,35,7,3,53.084787995758106,1,2023-01-01 16:00:00
So Far So Good!.,1,16,4,5,35.6113124567257,1,2023-01-01 17:00:00
Works great!.,1,13,2,5,39.71037709212731,0,2023-01-01 18:00:00
It clicks into place in a way that makes you wonder how long that mechanism would last.,0,87,17,3,42.7630931584925,0,2023-01-01 19:00:00
"I went on Motorola's website and followed all directions, but could not get it to pair again.",0,93,17,2,45.22831136053365,0,2023-01-01 20:00:00
I bought this to use with my Kindle Fire and absolutely loved it!,1,65,13,4,37.27229197245241,0,2023-01-01 21:00:00
The commercials are the most misleading.,0,40,6,3,33.445104742176106,0,2023-01-01 22:00:00
I have yet to run this new battery below two bars and that's three days without charging.,1,89,17,5,48.31860127324897,0,2023-01-01 23:00:00
I bought it for my mother and she had a problem with the battery.,0,65,14,2,38.65891659720767,0,2023-01-02 00:00:00
Great Pocket PC / phone combination.,1,36,6,4,47.43714664267837,0,2023-01-02 01:00:00
I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.,1,92,19,4,34.63088145822607,1,2023-01-02 02:00:00
I didn't think that the instructions provided were helpful to me.,0,65,11,4,44.434203055644524,0,2023-01-02 03:00:00
People couldnt hear me talk and I had to pull out the earphone and talk on the phone.,0,85,18,4,45.97768297654758,1,2023-01-02 04:00:00
Doesn't hold charge.,0,20,3,4,31.554706104672807,0,2023-01-02 05:00:00
"This is a simple little phone to use, but the breakage is unacceptible.",0,71,13,3,40.098128345817614,0,2023-01-02 06:00:00
This product is ideal for people like me whose ears are very sensitive.,1,71,13,5,34.03244030816923,0,2023-01-02 07:00:00
It is unusable in a moving car at freeway speed.,0,48,10,3,31.90124911418303,0,2023-01-02 08:00:00
I have two more years left in this contract and I hate this phone.,0,66,14,3,59.69880697169836,0,2023-01-02 09:00:00
Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1,104,19,5,39.670615349241686,1,2023-01-02 10:00:00
You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0,115,24,3,54.29623337563905,0,2023-01-02 11:00:00
It has kept up very well.,1,25,6,5,37.63921964291291,1,2023-01-02 12:00:00
Poor Talk Time Performance.,0,27,4,4,50.44508166671788,1,2023-01-02 13:00:00
The case is great and works fine with the 680.,1,46,10,4,52.80683579669059,0,2023-01-02 14:00:00
worthless product.,0,18,2,4,47.86916221823533,0,2023-01-02 15:00:00
"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1,92,18,4,44.14728565650475,1,2023-01-02 16:00:00
I was not impressed by this product.,0,36,7,4,42.355227424418054,0,2023-01-02 17:00:00
Nice headset priced right.,1,26,4,5,40.46604799628986,0,2023-01-02 18:00:00
I only hear garbage for audio.,0,30,6,2,57.88587432743478,1,2023-01-02 19:00:00
Excellent bluetooth headset.,1,28,3,4,54.918582233631874,0,2023-01-02 20:00:00
It has all the features I want,1,30,7,5,58.95080731999538,1,2023-01-02 21:00:00
Who in their right mind is gonna buy this battery?.,0,51,10,3,33.728916704566345,1,2023-01-02 22:00:00
AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0,93,15,2,51.92602425610933,0,2023-01-02 23:00:00
This case seems well made.,1,26,5,5,58.150213704631135,0,2023-01-03 00:00:00
Disappointed with battery.,0,26,3,3,35.43699198496981,0,2023-01-03 01:00:00
Not loud enough and doesn't turn on like it should.,0,51,10,3,31.994888021003327,0,2023-01-03 02:00:00
good protection and does not make phone too bulky.,1,50,9,4,52.23361947870177,0,2023-01-03 03:00:00
A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1,102,18,5,47.234193395397355,1,2023-01-03 04:00:00
This phone is pretty sturdy and I've never had any large problems with it.,1,74,14,4,55.25486330274816,0,2023-01-03 05:00:00
I love this thing!,1,18,4,5,34.193171298788684,0,2023-01-03 06:00:00
Everything about it is fine and reasonable for the price i.e.,1,61,11,5,53.858019355796706,1,2023-01-03 07:00:00
VERY DISAPPOINTED.,0,18,2,4,36.048819601432335,1,2023-01-03 08:00:00
I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1,101,20,4,34.90967828597113,1,2023-01-03 09:00:00
I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1,116,23,5,34.92797393792979,0,2023-01-03 10:00:00
The buttons for on and off are bad.,0,35,8,4,54.43724160694146,1,2023-01-03 11:00:00
Essentially you can forget Microsoft's tech support.,0,52,7,3,49.955916620886,0,2023-01-03 12:00:00
"I really recommend this faceplates since it looks very nice, elegant and cool.",1,78,13,4,45.69196274307358,0,2023-01-03 13:00:00
These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1,132,25,5,40.76491452370507,0,2023-01-03 14:00:00
Buy a different phone - but not this.,0,37,8,3,56.31601622439325,1,2023-01-03 15:00:00
You have to hold the phone at a particular angle for the other party to hear you clearly.,0,89,18,3,41.77335322267906,0,2023-01-03 16:00:00
The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0,149,30,3,54.497983184147316,0,2023-01-03 17:00:00
"A week later after I activated it, it suddenly died.",0,52,10,3,43.17404725710655,0,2023-01-03 18:00:00
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1,103,18,5,41.30833288274722,0,2023-01-03 19:00:00
Great for iPODs too.,1,20,4,5,43.880393570088195,1,2023-01-03 20:00:00
